'BENIDORM CHESS OPEN “B” (U2000)'||||||||||||||||
'Benidorm, Alicante, Spain, 2022-12-03 - 2022-12-11'||||||||||||||||
||||||||||||||||
'Clasificación   '||||||||||||||||
'Pos.'|'Torneo'|'Ran.'|'Tít.'|'Sex.'|'Nombre'|'Fed.'|'Pts.'|'DirE'|'APRO'|'BucM'|'ARO.'|'Mwns'|'MBlk'|'FIDE'|'Nac.'|'Origen/Club'|
'68'|'B'|'93'||'m'|'Morata Perez, Jose'|'ESP'|'4,0'|'0.0'|'1632.2'|'32.0'|'1603.9'|'3'|'5'|'1371'|'1401'|'Andalucía'|
'69'|'B'|'66'||'m'|'Arribas Lopez, Sara'|'ESP'|'4,0'|'0.0'|'1612.3'|'32.5'|'1707.4'|'3'|'4'|'1602'|'1680'|'Madrid'|
'70'|'B'|'72'||'m'|'Pesochinskiy, Stepan'|'ESP'|'4,0'|'0.0'|'1600.6'|'32.5'|'1772.9'|'2'|'5'|'1508'|'1564'|'Madrid'|
'71'|'B'|'92'||'f'|'Voronaya, Eva'|'FID'|'4,0'|'0.0'|'1524.2'|'30.5'|'1657.1'|'4'|'5'|'1379'|'0'|''|
'72'|'B'|'97'||'f'|'Prieto Rol, Esther'|'ESP'|'4,0'|'0.0'|'1491.1'|'28.5'|'1623.9'|'2'|'5'|'1299'|'1318'|'Extremadura'|
'73'|'B'|'82'||'m'|'Such Palacios, Jose Miguel'|'ESP'|'4,0'|'0.0'|'1489.2'|'28.0'|'1584.9'|'4'|'4'|'1465'|'1485'|'Comunidad Valenciana'|
'74'|'B'|'49'||'m'|'Hassomal Daswani, Birjkumar'|'ESP'|'4,0'|'0.0'|'1481.9'|'31.0'|'1659.6'|'3'|'4'|'1715'|'1730'|'Comunidad Valenciana'|
'75'|'B'|'111'||'m'|'Henning Lubberding, Hans'|'IRL'|'4,0'|'0.0'|'1464.5'|'27.5'|'1644.2'|'3'|'3'|'0'|'0'|''|
'76'|'B'|'75'||'m'|'Martinez Torres, Jose Manuel'|'ESP'|'4,0'|'0.0'|'1450.3'|'27.0'|'1517.8'|'3'|'5'|'1496'|'1544'|'FEDC'|
'77'|'B'|'74'||'m'|'Deiana, Giacomo'|'ITA'|'4,0'|'0.0'|'1366.0'|'24.0'|'1562.1'|'3'|'5'|'1498'|'0'|''|
'78'|'B'|'18'||'m'|'Izquierdo Arruferia, Joseba'|'ESP'|'3,5'|'0.0'|'1700.8'|'33.5'|'1577.9'|'2'|'5'|'1887'|'1910'|'País Vasco'|
'79'|'B'|'43'||'m'|'Rumsey, Victor B'|'ENG'|'3,5'|'0.0'|'1643.3'|'33.5'|'1555.0'|'2'|'3'|'1758'|'0'|''|
'80'|'B'|'55'||'f'|'Gerona Maura, Jesus'|'ESP'|'3,5'|'0.0'|'1616.8'|'31.0'|'1503.0'|'3'|'4'|'1690'|'1720'|'Comunidad Valenciana'|
'81'|'B'|'41'||'m'|'Hellmann, Thomas'|'GER'|'3,5'|'0.0'|'1612.7'|'30.0'|'1582.8'|'2'|'4'|'1771'|'0'|''|
'82'|'B'|'65'||'m'|'Grindbakken, Erik'|'NOR'|'3,5'|'0.0'|'1544.1'|'30.0'|'1558.2'|'3'|'5'|'1606'|'0'|''|
'83'|'B'|'95'||'f'|'Mateeva, Yana'|'BUL'|'3,5'|'0.0'|'1522.9'|'26.5'|'1583.4'|'3'|'5'|'1329'|'0'|''|
'84'|'B'|'94'||'m'|'Munoz Gonzalez, Martin'|'ESP'|'3,5'|'0.0'|'1482.0'|'27.0'|'1623.1'|'3'|'4'|'1352'|'1386'|'FEDC'|
